Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
11|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|FUR-TA-10001539|Furniture|Tables|Chromcraft Rectangular Conference Tables|1706.1840|9|0.20|85.3091999999998000
12|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032|West|TEC-PH-10002033|Technology|Phones|Konftel 250 Conference phone - Charcoal black|911.4240|4|0.20|68.3568000000000000
13|CA-2019-114412|2019-04-15|2019-04-20|Standard Class|AA-10480|Andrew Allen|Consumer|United States|Concord|North Carolina|28027|South|OFF-PA-10002365|Office Supplies|Paper|Xerox 1967|15.5520|3|0.20|5.4432000000000000
14|CA-2018-161389|2018-12-05|2018-12-10|Standard Class|IM-15070|Irene Maddox|Consumer|United States|Seattle|Washington|98103|West|OFF-BI-10003656|Office Supplies|Binders|Fellowes PB200 Plastic Comb Binding Machine|407.9760|3|0.20|132.5922000000000000
15|US-2017-118983|2017-11-22|2017-11-26|Standard Class|HP-14815|Harold Pawlan|Home Office|United States|Fort Worth|Texas|76106|Central|OFF-AP-10002311|Office Supplies|Appliances|Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter|68.8100|5|0.80|-123.8580000000000000
16|US-2017-118983|2017-11-22|2017-11-26|Standard Class|HP-14815|Harold Pawlan|Home Office|United States|Fort Worth|Texas|76106|Central|OFF-BI-10000756|Office Supplies|Binders|Storex DuraTech Recycled Plastic Frosted Binders|2.5440|3|0.80|-3.8160000000000000
17|CA-2016-105893|2016-11-11|2016-11-18|Standard Class|PK-19075|Pete Kriz|Consumer|United States|Madison|Wisconsin|53711|Central|OFF-ST-10004186|Office Supplies|Storage|Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D|665.8800|6|0.00|13.3176000000000000
18|CA-2016-167164|2016-05-13|2016-05-15|Second Class|AG-10270|Alejandro Grove|Consumer|United States|West Jordan|Utah|84084|West|OFF-ST-10000107|Office Supplies|Storage|Fellowes Super Stor/Drawer|55.5000|2|0.00|9.9900000000000000
19|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109|West|OFF-AR-10003056|Office Supplies|Art|Newell 341|8.5600|2|0.00|2.4824000000000000
20|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109|West|TEC-PH-10001949|Technology|Phones|Cisco SPA 501G IP Phone|213.4800|3|0.20|16.0110000000000000
21|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109|West|OFF-BI-10002215|Office Supplies|Binders|Wilson Jones Hanging View Binder, White, 1"|22.7200|4|0.20|7.3840000000000000
22|CA-2018-137330|2018-12-09|2018-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|68025|Central|OFF-AR-10000246|Office Supplies|Art|Newell 318|19.4600|7|0.00|5.0596000000000000
23|CA-2018-137330|2018-12-09|2018-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|68025|Central|OFF-AP-10001492|Office Supplies|Appliances|Acco Six-Outlet Power Strip, 4' Cord Length|60.3400|7|0.00|15.6884000000000000
24|US-2019-156909|2019-07-16|2019-07-18|Second Class|SF-20065|Sandra Flanagan|Consumer|United States|Philadelphia|Pennsylvania|19140|East|FUR-CH-10002774|Furniture|Chairs|Global Deluxe Stacking Chair, Gray|71.3720|2|0.30|-1.0196000000000000
25|CA-2017-106320|2017-09-25|2017-09-30|Standard Class|EB-13870|Emily Burns|Consumer|United States|Orem|Utah|84057|West|FUR-TA-10000577|Furniture|Tables|Bretford CR4500 Series Slim Rectangular Table|1044.6300|3|0.00|240.2649000000000000
26|CA-2018-121755|2018-01-16|2018-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|90049|West|OFF-BI-10001634|Office Supplies|Binders|Wilson Jones Active Use Binders|11.6480|2|0.20|4.2224000000000000
27|CA-2018-121755|2018-01-16|2018-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|90049|West|TEC-AC-10003027|Technology|Accessories|Imation 8GB Mini TravelDrive USB 2.0 Flash Drive|90.5700|3|0.00|11.7741000000000000
28|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|FUR-BO-10004834|Furniture|Bookcases|Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish|3083.4300|7|0.50|-1665.0522000000000000
29|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-BI-10000474|Office Supplies|Binders|Avery Recycled Flexi-View Covers for Binding Systems|9.6180|2|0.70|-7.0532000000000000
30|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|FUR-FU-10004848|Furniture|Furnishings|Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock|124.2000|3|0.20|15.5250000000000000
31|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-EN-10001509|Office Supplies|Envelopes|Poly String Tie Envelopes|3.2640|2|0.20|1.1016000000000000
32|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-AR-10004042|Office Supplies|Art|BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain|86.3040|6|0.20|9.7091999999999900
33|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-BI-10001525|Office Supplies|Binders|Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red|6.8580|6|0.70|-5.7150000000000000
34|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-AR-10001683|Office Supplies|Art|Lumber Crayons|15.7600|2|0.20|3.5460000000000000
35|CA-2019-107727|2019-10-19|2019-10-23|Second Class|MA-17560|Matt Abelman|Home Office|United States|Houston|Texas|77095|Central|OFF-PA-10000249|Office Supplies|Paper|Easy-staple paper|29.4720|3|0.20|9.9468000000000000
36|CA-2018-117590|2018-12-08|2018-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|75080|Central|TEC-PH-10004977|Technology|Phones|GE 30524EE4|1097.5440|7|0.20|123.4737000000000000
37|CA-2018-117590|2018-12-08|2018-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|75080|Central|FUR-FU-10003664|Furniture|Furnishings|Electrix Architect's Clamp-On Swing Arm Lamp, Black|190.9200|5|0.60|-147.9630000000000000
38|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041|Central|OFF-EN-10002986|Office Supplies|Envelopes|#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes|113.3280|9|0.20|35.4150000000000000
39|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041|Central|FUR-BO-10002545|Furniture|Bookcases|Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors|532.3992|3|0.32|-46.9764000000000000
40|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041|Central|FUR-CH-10004218|Furniture|Chairs|Global Fabric Manager's Chair, Dark Gray|212.0580|3|0.30|-15.1470000000000000
41|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041|Central|TEC-PH-10000486|Technology|Phones|Plantronics HL10 Handset Lifter|371.1680|4|0.20|41.7564000000000000
42|CA-2019-120999|2019-09-10|2019-09-15|Standard Class|LC-16930|Linda Cazamias|Corporate|United States|Naperville|Illinois|60540|Central|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|147.1680|4|0.20|16.5564000000000000
43|CA-2018-101343|2018-07-17|2018-07-22|Standard Class|RA-19885|Ruben Ausman|Corporate|United States|Los Angeles|California|90049|West|OFF-ST-10003479|Office Supplies|Storage|Eldon Base for stackable storage shelf, platinum|77.8800|2|0.00|3.8939999999999900
44|CA-2019-139619|2019-09-19|2019-09-23|Standard Class|ES-14080|Erin Smith|Corporate|United States|Melbourne|Florida|32935|South|OFF-ST-10003282|Office Supplies|Storage|Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers|95.6160|2|0.20|9.5616000000000100
45|CA-2018-118255|2018-03-11|2018-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|55122|Central|TEC-AC-10000171|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack|45.9800|2|0.00|19.7714000000000000
46|CA-2018-118255|2018-03-11|2018-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|55122|Central|OFF-BI-10003291|Office Supplies|Binders|Wilson Jones Leather-Like Binders with DublLock Round Rings|17.4600|2|0.00|8.2062000000000000
47|CA-2016-146703|2016-10-20|2016-10-25|Second Class|PO-18865|Patrick O'Donnell|Consumer|United States|Westland|Michigan|48185|Central|OFF-ST-10001713|Office Supplies|Storage|Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black|211.9600|4|0.00|8.4783999999999900
48|CA-2018-169194|2018-06-20|2018-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|19901|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|45.0000|3|0.00|4.9500000000000000
49|CA-2018-169194|2018-06-20|2018-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|19901|East|TEC-PH-10003988|Technology|Phones|LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite|21.8000|2|0.00|6.1040000000000000
50|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150|Central|OFF-BI-10004410|Office Supplies|Binders|C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack|38.2200|6|0.00|17.9634000000000000
51|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150|Central|OFF-LA-10002762|Office Supplies|Labels|Avery 485|75.1800|6|0.00|35.3346000000000000
52|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150|Central|FUR-FU-10001706|Furniture|Furnishings|Longer-Life Soft White Bulbs|6.1600|2|0.00|2.9568000000000000
53|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150|Central|FUR-CH-10003061|Furniture|Chairs|Global Leather Task Chair, Black|89.9900|1|0.00|17.0981000000000000
54|CA-2018-105816|2018-12-11|2018-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|10024|East|OFF-FA-10000304|Office Supplies|Fasteners|Advantus Push Pins|15.2600|7|0.00|6.2566000000000000
55|CA-2018-105816|2018-12-11|2018-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|10024|East|TEC-PH-10002447|Technology|Phones|AT&T CL83451 4-Handset Telephone|1029.9500|5|0.00|298.6855000000000000
56|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|OFF-ST-10000604|Office Supplies|Storage|Home/Office Personal File Carts|208.5600|6|0.00|52.1400000000000000
57|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|OFF-PA-10001569|Office Supplies|Paper|Xerox 232|32.4000|5|0.00|15.5520000000000000
58|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|FUR-CH-10003968|Furniture|Chairs|Novimex Turbo Task Chair|319.4100|5|0.10|7.0980000000000100
59|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|OFF-PA-10000587|Office Supplies|Paper|Array Parchment Paper, Assorted Colors|14.5600|2|0.00|6.9888000000000000
60|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|30.0000|2|0.00|3.3000000000000000
61|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|OFF-BI-10001460|Office Supplies|Binders|Plastic Binding Combs|48.4800|4|0.20|16.3620000000000000
62|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180|East|OFF-AR-10001868|Office Supplies|Art|Prang Dustless Chalk Sticks|1.6800|1|0.00|0.8400000000000000
63|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004|West|TEC-AC-10004633|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack|13.9800|2|0.00|6.1512000000000000
64|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004|West|OFF-BI-10001078|Office Supplies|Binders|Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"|25.8240|6|0.20|9.3612000000000000
65|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004|West|OFF-PA-10003892|Office Supplies|Paper|Xerox 1943|146.7300|3|0.00|68.9631000000000000
66|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004|West|FUR-FU-10000397|Furniture|Furnishings|Luxo Economy Swing Arm Lamp|79.7600|4|0.00|22.3328000000000000
67|US-2017-164175|2017-04-30|2017-05-05|Standard Class|PS-18970|Paul Stevenson|Home Office|United States|Chicago|Illinois|60610|Central|FUR-CH-10001146|Furniture|Chairs|Global Value Mid-Back Manager's Chair, Gray|213.1150|5|0.30|-15.2225000000000000
68|CA-2016-106376|2016-12-05|2016-12-10|Standard Class|BS-11590|Brendan Sweed|Corporate|United States|Gilbert|Arizona|85234|West|OFF-AR-10002671|Office Supplies|Art|Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige|1113.0240|8|0.20|111.3024000000000000
69|CA-2016-106376|2016-12-05|2016-12-10|Standard Class|BS-11590|Brendan Sweed|Corporate|United States|Gilbert|Arizona|85234|West|TEC-PH-10002726|Technology|Phones|netTALK DUO VoIP Telephone Service|167.9680|4|0.20|62.9880000000000000
70|CA-2018-119823|2018-06-04|2018-06-06|First Class|KD-16270|Karen Daniels|Consumer|United States|Springfield|Virginia|22153|South|OFF-PA-10000482|Office Supplies|Paper|Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate|75.8800|2|0.00|35.6636000000000000
71|CA-2018-106075|2018-09-18|2018-09-23|Standard Class|HM-14980|Henry MacAllister|Consumer|United States|New York City|New York|10009|East|OFF-BI-10004654|Office Supplies|Binders|Avery Binding System Hidden Tab Executive Style Index Sets|4.6160|1|0.20|1.7310000000000000
72|CA-2019-114440|2019-09-14|2019-09-17|Second Class|TB-21520|Tracy Blumstein|Consumer|United States|Jackson|Michigan|49201|Central|OFF-PA-10004675|Office Supplies|Paper|Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"|19.0500|3|0.00|8.7630000000000000
73|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109|South|FUR-CH-10000513|Furniture|Chairs|High-Back Leather Manager's Chair|831.9360|8|0.20|-114.3912000000000000
74|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109|South|FUR-FU-10003708|Furniture|Furnishings|Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"|97.0400|2|0.20|1.2130000000000000
75|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109|South|OFF-ST-10004123|Office Supplies|Storage|Safco Industrial Wire Shelving System|72.7840|1|0.20|-18.1960000000000000
76|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041|Central|OFF-BI-10004182|Office Supplies|Binders|Economy Binders|1.2480|3|0.80|-1.9344000000000000
77|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041|Central|FUR-FU-10000260|Furniture|Furnishings|6" Cubicle Wall Clock, Black|9.7080|3|0.60|-5.8248000000000000
78|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041|Central|OFF-ST-10000615|Office Supplies|Storage|SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h|27.2400|3|0.20|2.7240000000000000
79|US-2016-147606|2016-11-26|2016-12-01|Second Class|JE-15745|Joel Eaton|Consumer|United States|Houston|Texas|77070|Central|FUR-FU-10003194|Furniture|Furnishings|Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak|19.3000|5|0.60|-14.4750000000000000
80|CA-2018-127208|2018-06-12|2018-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|35601|South|OFF-AP-10002118|Office Supplies|Appliances|1.7 Cubic Foot Compact "Cube" Office Refrigerators|208.1600|1|0.00|56.2032000000000000
81|CA-2018-127208|2018-06-12|2018-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|35601|South|OFF-BI-10002309|Office Supplies|Binders|Avery Heavy-Duty EZD  Binder With Locking Rings|16.7400|3|0.00|8.0352000000000000
82|CA-2016-139451|2016-10-12|2016-10-16|Standard Class|DN-13690|Duane Noonan|Consumer|United States|San Francisco|California|94122|West|OFF-AR-10002053|Office Supplies|Art|Premium Writing Pencils, Soft, #2 by Central Association for the Blind|14.9000|5|0.00|4.1720000000000000
83|CA-2016-139451|2016-10-12|2016-10-16|Standard Class|DN-13690|Duane Noonan|Consumer|United States|San Francisco|California|94122|West|OFF-ST-10002370|Office Supplies|Storage|Sortfiler Multipurpose Personal File Organizer, Black|21.3900|1|0.00|6.2031000000000000
84|CA-2017-149734|2017-09-03|2017-09-08|Standard Class|JC-16105|Julie Creighton|Corporate|United States|Durham|North Carolina|27707|South|OFF-EN-10000927|Office Supplies|Envelopes|Jet-Pak Recycled Peel 'N' Seal Padded Mailers|200.9840|7|0.20|62.8075000000000000
85|US-2019-119662|2019-11-13|2019-11-16|First Class|CS-12400|Christopher Schild|Home Office|United States|Chicago|Illinois|60623|Central|OFF-ST-10003656|Office Supplies|Storage|Safco Industrial Wire Shelving|230.3760|3|0.20|-48.9549000000000000
86|CA-2019-140088|2019-05-28|2019-05-30|Second Class|PO-18865|Patrick O'Donnell|Consumer|United States|Columbia|South Carolina|29203|South|FUR-CH-10000863|Furniture|Chairs|Novimex Swivel Fabric Task Chair|301.9600|2|0.00|33.2156000000000000
87|CA-2019-155558|2019-10-26|2019-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|55901|Central|TEC-AC-10001998|Technology|Accessories|Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired|19.9900|1|0.00|6.7966000000000000
88|CA-2019-155558|2019-10-26|2019-11-02|Standard Class|PG-18895|Paul Gonzalez|Consumer|United States|Rochester|Minnesota|55901|Central|OFF-LA-10000134|Office Supplies|Labels|Avery 511|6.1600|2|0.00|2.9568000000000000
89|CA-2018-159695|2018-04-05|2018-04-10|Second Class|GM-14455|Gary Mitchum|Home Office|United States|Houston|Texas|77095|Central|OFF-ST-10003442|Office Supplies|Storage|Eldon Portable Mobile Manager|158.3680|7|0.20|13.8572000000000000
90|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036|West|OFF-AR-10004930|Office Supplies|Art|Turquoise Lead Holder with Pocket Clip|20.1000|3|0.00|6.6330000000000000
91|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036|West|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|73.5840|2|0.20|8.2782000000000000
92|CA-2018-109806|2018-09-17|2018-09-22|Standard Class|JS-15685|Jim Sink|Corporate|United States|Los Angeles|California|90036|West|OFF-PA-10000304|Office Supplies|Paper|Xerox 1995|6.4800|1|0.00|3.1104000000000000
93|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407|Central|OFF-PA-10003177|Office Supplies|Paper|Xerox 1999|12.9600|2|0.00|6.2208000000000000
94|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407|Central|FUR-FU-10003799|Furniture|Furnishings|Seth Thomas 13 1/2" Wall Clock|53.3400|3|0.00|16.5354000000000000
95|CA-2017-149587|2017-01-31|2017-02-05|Second Class|KB-16315|Karl Braun|Consumer|United States|Minneapolis|Minnesota|55407|Central|OFF-BI-10002852|Office Supplies|Binders|Ibico Standard Transparent Covers|32.9600|2|0.00|16.1504000000000000
96|US-2019-109484|2019-11-06|2019-11-12|Standard Class|RB-19705|Roger Barcio|Home Office|United States|Portland|Oregon|97206|West|OFF-BI-10004738|Office Supplies|Binders|Flexible Leather- Look Classic Collection Ring Binder|5.6820|1|0.70|-3.7880000000000000
97|CA-2019-161018|2019-11-09|2019-11-11|Second Class|PN-18775|Parhena Norris|Home Office|United States|New York City|New York|10009|East|FUR-FU-10000629|Furniture|Furnishings|9-3/4 Diameter Round Wall Clock|96.5300|7|0.00|40.5426000000000000
98|CA-2019-157833|2019-06-17|2019-06-20|First Class|KD-16345|Katherine Ducich|Consumer|United States|San Francisco|California|94122|West|OFF-BI-10001721|Office Supplies|Binders|Trimflex Flexible Post Binders|51.3120|3|0.20|17.9592000000000000
99|CA-2018-149223|2018-09-06|2018-09-11|Standard Class|ER-13855|Elpida Rittenbach|Corporate|United States|Saint Paul|Minnesota|55106|Central|OFF-AP-10000358|Office Supplies|Appliances|Fellowes Basic Home/Office Series Surge Protectors|77.8800|6|0.00|22.5852000000000000
100|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610|Central|OFF-PA-10003256|Office Supplies|Paper|Avery Personal Creations Heavyweight Cards|64.6240|7|0.20|22.6184000000000000
101|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610|Central|TEC-AC-10001767|Technology|Accessories|SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card|95.9760|3|0.20|-10.7973000000000000
102|CA-2018-158568|2018-08-29|2018-09-02|Standard Class|RB-19465|Rick Bensley|Home Office|United States|Chicago|Illinois|60610|Central|OFF-BI-10002609|Office Supplies|Binders|Avery Hidden Tab Dividers for Binding Systems|1.7880|3|0.80|-3.0396000000000000
103|CA-2018-129903|2018-12-01|2018-12-04|Second Class|GZ-14470|Gary Zandusky|Consumer|United States|Rochester|Minnesota|55901|Central|OFF-PA-10004040|Office Supplies|Paper|Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)|23.9200|4|0.00|11.7208000000000000
104|US-2017-156867|2017-11-13|2017-11-17|Standard Class|LC-16870|Lena Cacioppo|Consumer|United States|Aurora|Colorado|80013|West|TEC-AC-10001552|Technology|Accessories|Logitech K350 2.4Ghz Wireless Keyboard|238.8960|6|0.20|-26.8758000000000000
